Bénéficiaires,2015,2016,2017,2018,2019,2020,2021,total
L’OBSERVATEUR  / THIERARCHE,,68811.0,,,,,,68811.0
satellifax.com,,,,68151.0,,,,68151.0
L'ECHO DE LA PRESQU'ILE GUERANDAISE ET DE SAINT-NAZAIRE,,,13377.0,13834.0,13964.0,14004.0,12635.0,67814.0
MANIERE DE VOIR - Le monde diplomatique,,,,,32326.0,,34558.0,66884.0
PARISBERLIN / parisberlinmag.com / algerparis.fr,66649.0,,,,,,,66649.0
REVUE ESPRIT / esprit.presse.fr,,,,,,,65958.0,65958.0
LES INFORMATIONS DIEPPOISES,12221.0,,10934.0,10773.0,10615.0,10290.0,10859.0,65692.0
TENDANCE OUEST / tendanceouest.com,,,,,,,65151.0,65151.0
BRETONS,,,9990.0,10087.0,12746.0,12844.0,19245.0,64912.0
pourlascience.fr,,64387.0,,,,,,64387.0
revue-farouest.fr,,,50000.0,,,14190.0,,64190.0
outremers360.com,,,,,63917.0,,,63917.0
batiactu.com,,,,16830.0,,,46921.0,63751.0
LA GAZETTE DE NIMES,8082.0,7790.0,7185.0,10909.0,9837.0,10124.0,9765.0,63692.0
LE JOURNAL DE MONTREUIL,9529.0,10634.0,9506.0,9059.0,8384.0,8276.0,8224.0,63612.0
presselib.com,,,,,,,63317.0,63317.0
"ART PRESS  / 
artpress.com",,,,,,,62644.0,62644.0
LA TRIBUNE DE MONTELIMAR,17876.0,16534.0,14409.0,,,,13632.0,62451.0
lequotidiendumedecin.fr,,,7882.0,,,,53839.0,61721.0
LES DOSSIERS DE L'ACTUALITE,18848.0,,22400.0,20332.0,,,,61580.0
